protein_id	ElementSymbol
cohort_merged__DRR127478__k141_61374::44::55692::56984::-	Phage integrase family
cohort_merged__DRR127476__k141_88675::42::55176::56636::-	Phage int SAM-like domain
cohort_merged__DRR127478__k141_16960::15::13446::14360::+	Conjugative transposon protein TcpC
cohort_merged__DRR171483__k141_40180::3::2255::2626::-	Transposon-encoded protein TnpV
cohort_merged__DRR171545__k141_83181::9::5595::6905::+	Phage integrase family
cohort_merged__DRR127476__k141_93760::2::609::803::+	Transposon-encoded protein TnpW
cohort_merged__DRR127476__k141_238152::12::8437::8745::+	Conjugative transposon TraL
cohort_merged__DRR127514__k141_78340::4::1291::2412::+	Phage integrase family
cohort_merged__DRR127476__k141_52156::2::415::666::+	Putative transposon-transfer assisting
cohort_merged__DRR171464__k141_129886::9::4183::5295::+	Phage int, N-term SAM-like domain;Phage integrase family
cohort_merged__DRR127588__k141_38098::1::102::446::-	Phage integrase family
cohort_merged__DRR171612__k141_51055::2::324::1166::+	Phage int, N-term SAM-like domain;Phage integrase family
cohort_merged__DRR127517__k141_120806::2::773::979::+	Putative transposon-transfer assisting
cohort_merged__DRR171472__k141_4106::2::2600::3595::-	Phage integrase family
cohort_merged__DRR171906__k141_12006::5::4541::5890::-	Phage int SAM-like domain;Phage integrase family
cohort_merged__DRR127478__k141_69807::3::1382::2677::-	Phage integrase family
cohort_merged__DRR127596__k141_35060::4::2685::3038::+	Transposon-encoded protein TnpV
cohort_merged__DRR127476__k141_196963::10::9529::10671::-	Conjugative transposon, TraM
cohort_merged__DRR127478__k141_86199::35::50403::51521::+	Phage int SAM-like domain;Phage integrase family
cohort_merged__DRR171799__k141_9235::31::22885::23901::-	Conjugative transposon TraJ
cohort_merged__DRR127521__k141_16548::3::2147::3430::+	Phage int SAM-like domain;Phage integrase family
cohort_merged__DRR171706__k141_104924::2::927::2168::-	DNA binding domain of tn916 int;Phage integrase family
cohort_merged__DRR171856__k141_84766::2::579::788::+	Putative transposon-transfer assisting
cohort_merged__DRR127478__k141_78605::2::874::1788::-	Phage int, N-term SAM-like domain;Phage integrase family
cohort_merged__DRR127649__k141_16826::24::24061::25167::-	Phage int SAM-like domain;Phage integrase family
cohort_merged__DRR127625__k141_50784::5::1670::1891::+	Transposon-encoded protein TnpV
cohort_merged__DRR127692__k141_120260::3::1906::2277::-	Transposon-encoded protein TnpV
cohort_merged__DRR127476__k141_310::3::746::1657::-	Conjugative transposon protein TcpC
cohort_merged__DRR171528__k141_168634::3::1501::1704::+	Putative transposon-transfer assisting
cohort_merged__DRR171804__k141_87859::15::15284::16525::+	Phage integrase family
cohort_merged__DRR127509__k141_51144::2::591::812::-	Transposon-encoded protein TnpV
cohort_merged__DRR127532__k141_25284::11::7173::8471::+	Phage integrase family
cohort_merged__DRR171572__k141_40088::3::665::1882::+	Phage integrase family
cohort_merged__DRR127485__k141_41160::2::158::331::-	Transposon-encoded protein TnpW
cohort_merged__DRR127546__k141_62850::5::3403::4617::-	Phage int SAM-like domain
cohort_merged__DRR171480__k141_39904::14::15879::17105::+	Phage int SAM-like domain;Phage integrase family
cohort_merged__DRR171658__k141_71550::1::56::268::-	Excisionase from transposon Tn916
cohort_merged__DRR127721__k141_25371::18::15939::17084::-	Phage int SAM-like domain;Phage integrase family
cohort_merged__DRR127481__k141_27946::24::16823::17974::-	Conjugative transposon, TraM
cohort_merged__DRR127597__k141_54598::2::460::1704::+	Phage int SAM-like domain;Phage integrase family
cohort_merged__DRR127625__k141_80758::13::23520::23726::+	Putative transposon-transfer assisting
cohort_merged__DRR171529__k141_41938::18::16052::16324::-	Transposon-encoded protein TnpW
cohort_merged__DRR127579__k141_8523::5::3657::4103::-	Integrase core domain
cohort_merged__DRR171487__k141_63443::11::9335::10567::+	Phage int SAM-like domain;Phage integrase family
cohort_merged__DRR171496__k141_22054::22::22180::23340::+	Phage int SAM-like domain;Phage integrase family
cohort_merged__DRR127481__k141_76672::24::17606::18517::-	Conjugative transposon protein TcpC
cohort_merged__DRR162777__k141_34267::12::8334::8948::+	Phage integrase family
cohort_merged__DRR127481__k141_21763::1::84::461::-	Transposon-encoded protein TnpV
cohort_merged__DRR127476__k141_158563::3::1489::2658::-	Phage int SAM-like domain;Phage integrase family
cohort_merged__DRR127476__k141_103782::2::1322::1525::-	Transposon-encoded protein TnpW
cohort_merged__DRR127521__k141_46997::7::4925::6154::-	Phage int SAM-like domain;Phage integrase family
