protein_id	ElementSymbol
cohort_merged__DRR127476__k141_107229::3::1039::1833::+	aph(3')-IIIa
cohort_merged__DRR127476__k141_108479::1::645::2105::+	lsa
cohort_merged__DRR127476__k141_140587::2::333::1463::-	vanT
cohort_merged__DRR127476__k141_14648::20::17959::19749::+	blaR1
cohort_merged__DRR127476__k141_148020::3::871::1518::+	vat
cohort_merged__DRR127476__k141_149743::6::3828::5621::-	blaR1
cohort_merged__DRR127476__k141_154566::1::49::1104::-	vanG
cohort_merged__DRR127476__k141_155915::3::1283::3202::+	tet
cohort_merged__DRR127476__k141_160276::2::400::2322::-	tet(44)
cohort_merged__DRR127476__k141_171072::2::1050::2189::+	tet(X1)
cohort_merged__DRR127476__k141_177209::2::991::1878::+	bla
cohort_merged__DRR127476__k141_198411::8::9105::10070::-	cfxA
cohort_merged__DRR127476__k141_206507::13::10625::11098::+	aac(6')
cohort_merged__DRR127476__k141_225490::15::9156::10289::-	vanS
cohort_merged__DRR127476__k141_225490::16::10279::10986::-	vanR
cohort_merged__DRR127476__k141_240276::36::36614::37306::-	vanR
cohort_merged__DRR127476__k141_244834::6::4277::5131::+	blaACI-1
cohort_merged__DRR127476__k141_245123::3::1173::1949::+	aad9
cohort_merged__DRR127476__k141_32432::3::1279::2163::-	ant(6)
cohort_merged__DRR127476__k141_51784::4::5530::6177::+	catA
cohort_merged__DRR127476__k141_59268::13::17734::18774::+	vanG
cohort_merged__DRR127476__k141_59268::15::19510::21591::+	vanT
cohort_merged__DRR127476__k141_79878::15::16137::17027::+	bla
cohort_merged__DRR127476__k141_88675::65::82339::83253::+	bla
cohort_merged__DRR127476__k141_92433::2::522::1145::-	catP
cohort_merged__DRR127476__k141_9344::13::10510::11208::-	vanR
cohort_merged__DRR127476__k141_95336::2::672::1718::+	vanG
cohort_merged__DRR127476__k141_97814::36::45844::46479::+	vat
cohort_merged__DRR127478__k141_24574::50::67544::68236::+	vanR
cohort_merged__DRR127478__k141_30558::4::5183::6979::-	blaR1
cohort_merged__DRR127478__k141_38709::9::8492::9187::-	vanR
cohort_merged__DRR127478__k141_4535::2::442::1323::-	bla
cohort_merged__DRR127478__k141_46149::85::65492::66181::-	vanR
